\fixlen = T
|set|TIME        |LC_DETREND    |
|int|double      |double        |
 0   134.7002961  -4.5511253e-05 
 0   134.7207305  -1.4160416e-04 
 0   134.7411649  -4.2561049e-05 
 0   134.7615992  5.1113129e-05  
 0   134.7820336  1.0421611e-04  
 0   134.8024681  -4.9935719e-05 
 0   134.8229024  3.4022883e-05  
 0   134.8433367  1.5831296e-04  
 0   134.8637712  -8.4924657e-05 
 0   134.8842056  2.4033184e-04  
 0   134.9046400  5.3801105e-05  
 0   134.9250743  1.7147644e-05  
 0   134.9455087  -2.0099516e-04 
 0   134.9659431  -6.2601961e-05 
 0   134.9863774  3.5164725e-05  
 0   135.0068119  1.5809340e-04  
 0   135.0272463  1.3536109e-04  
 0   135.0476805  1.4966408e-04  
 0   135.0681149  -1.1374481e-04 
 0   135.0885494  -1.1165617e-04 
 0   135.1089837  -2.4663212e-04 
 0   135.1294181  8.1820377e-05  
 0   135.1498525  1.1303087e-04  
 0   135.1702869  -1.5500133e-05 
 0   135.1907212  -1.6230106e-04 
 0   135.2111556  -3.1560310e-05 
 0   135.2315901  -7.4842451e-06 
 0   135.2520243  7.4949257e-06  
 0   135.2724587  -1.7146273e-04 
 0   135.2928930  2.2408456e-04  
 0   135.3133275  2.2041540e-04  
 0   135.3337619  3.3317378e-04  
 0   135.3541961  -5.3260712e-05 
 0   135.3746306  6.2838831e-07  
 0   135.3950650  1.3199907e-04  
 0   135.4154994  -3.1318743e-04 
 0   135.4359337  8.0353166e-05  
 0   135.4563681  8.3660721e-05  
 0   135.4768025  4.8599578e-04  
 0   135.4972368  -2.0147907e-04 
 0   135.5176713  -2.2197505e-04 
 0   135.5381057  -3.7824688e-04 
 0   135.5585399  -6.9043497e-05 
 0   135.5789743  4.3622153e-05  
 0   135.5994088  -8.5993242e-06 
 0   135.6198431  -8.3449828e-05 
 0   135.6402775  -8.1199496e-06 
 0   135.6607119  1.0617904e-05  
 0   135.6811463  1.4263949e-04  
 0   135.7015806  1.6150305e-04  
 0   135.7220150  3.3986013e-04  
 0   135.7424494  1.0846306e-04  
 0   135.7628837  7.6115084e-06  
 0   135.7833181  3.8582733e-05  
 0   135.8037526  -2.0582350e-04 
