Data for HD 219666
Garbage, time, flux
Generated by R.P. Nelson
2.270000000000000000e+02 1.325614817133357519e+03 9.998744130134582520e-01
2.280000000000000000e+02 1.325616206048984168e+03 9.998685121536254883e-01
2.290000000000000000e+02 1.325617594964843420e+03 9.999893307685852051e-01
2.300000000000000000e+02 1.325618983880702672e+03 1.000361919403076172e+00
2.310000000000000000e+02 1.325620372796562606e+03 1.000070214271545410e+00
2.320000000000000000e+02 1.325621761712422085e+03 9.992868900299072266e-01
2.330000000000000000e+02 1.325623150628047824e+03 1.000029802322387695e+00
2.340000000000000000e+02 1.325624539543907758e+03 1.000541567802429199e+00
2.350000000000000000e+02 1.325625928459767238e+03 9.994202256202697754e-01
2.360000000000000000e+02 1.325627317375625807e+03 9.990355968475341797e-01
2.370000000000000000e+02 1.325628706291252911e+03 1.000751376152038574e+00
2.380000000000000000e+02 1.325630095207112163e+03 9.999564886093139648e-01
2.390000000000000000e+02 1.325631484122971415e+03 1.000388622283935547e+00
2.400000000000000000e+02 1.325632873038598518e+03 9.998704195022583008e-01
2.410000000000000000e+02 1.325634261954457997e+03 1.000624775886535645e+00
2.420000000000000000e+02 1.325635650870317022e+03 9.994619488716125488e-01
2.430000000000000000e+02 1.325637039785943671e+03 1.000346899032592773e+00
2.440000000000000000e+02 1.325638428701803150e+03 1.000273346900939941e+00
2.450000000000000000e+02 1.325639817617662175e+03 1.000537395477294922e+00
2.460000000000000000e+02 1.325641206533288823e+03 1.000428438186645508e+00
2.470000000000000000e+02 1.325642595449148757e+03 1.000296950340270996e+00
2.480000000000000000e+02 1.325643984365008237e+03 1.000203728675842285e+00
2.490000000000000000e+02 1.325645373280633976e+03 1.000239372253417969e+00
2.500000000000000000e+02 1.325646762196493910e+03 9.999788999557495117e-01
2.510000000000000000e+02 1.325648151112120104e+03 1.001000046730041504e+00
2.520000000000000000e+02 1.325649540027978901e+03 1.000891566276550293e+00
2.530000000000000000e+02 1.325650928943839062e+03 1.000510573387145996e+00
2.540000000000000000e+02 1.325652317859466166e+03 1.000401139259338379e+00
2.550000000000000000e+02 1.325653706775324736e+03 1.000274896621704102e+00
2.560000000000000000e+02 1.325655095690951157e+03 1.000463962554931641e+00
2.570000000000000000e+02 1.325656484606811318e+03 9.989600181579589844e-01
2.580000000000000000e+02 1.325657873522437512e+03 1.000174283981323242e+00
2.590000000000000000e+02 1.325659262438296992e+03 1.000471234321594238e+00
2.600000000000000000e+02 1.325660651354156016e+03 9.994338154792785645e-01
2.610000000000000000e+02 1.325662040269782665e+03 1.000368595123291016e+00
2.620000000000000000e+02 1.325663429185642144e+03 1.000853896141052246e+00
2.630000000000000000e+02 1.325664818101268338e+03 9.994822144508361816e-01
